Year,All Pharmacotherapy Prescriptions,Nicotine Replacement Therapy (NRT) Prescriptions,Bupropion (Zyban) Prescriptions,Varenicline (Champix) Prescriptions,Net Ingredient Cost of All Pharmacotherapies,Net Ingredient Cost of Nicotine Replacement Therapies (NRT),Net Ingredient Cost of Bupropion (Zyban),Net Ingredient Cost of Varenicline (Champix),"Tobacco Price
Index","Retail Prices
Index",Tobacco Price Index Relative to Retail Price Index,Real Households' Disposable Income,Affordability of Tobacco Index,Household Expenditure on Tobacco,Household Expenditure Total,Expenditure on Tobacco as a Percentage of Expenditure,ICD10 Code,ICD10 Diagnosis,Diagnosis Type,Metric,Sex,Value,ICD10 Code_fat,ICD10 Diagnosis_fat,Diagnosis Type_fat,Metric_fat,Sex_fat,Value_fat,Method,Sex_smk,16 and Over,16-24,25-34,35-49,50-59,60 and Over
1974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unweighted,,46.0,44.0,51.0,52.0,50.0,33.0
1974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unweighted,Male,51.0,47.0,55.0,55.0,53.0,44.0
1974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unweighted,Female,41.0,41.0,47.0,49.0,48.0,26.0
1976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unweighted,,42.0,42.0,45.0,48.0,48.0,30.0
1976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unweighted,Male,46.0,43.0,48.0,50.0,50.0,40.0
1976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unweighted,Female,38.0,40.0,43.0,45.0,46.0,24.0
1978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unweighted,,40.0,39.0,45.0,45.0,45.0,30.0
1978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unweighted,Male,44.0,40.0,48.0,48.0,48.0,38.0
1978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unweighted,Female,37.0,38.0,42.0,43.0,42.0,24.0
1980,,,,,,,,,100.0,100.0,100.0,100.0,100.0,,,,,,,,,,,,,,,,Unweighted,,39.0,37.0,46.0,44.0,45.0,29.0
1980,,,,,,,,,100.0,100.0,100.0,100.0,100.0,,,,,,,,,,,,,,,,Unweighted,Male,42.0,38.0,47.0,45.0,47.0,36.0
1980,,,,,,,,,100.0,100.0,100.0,100.0,100.0,,,,,,,,,,,,,,,,Unweighted,Female,37.0,36.0,44.0,43.0,44.0,24.0
1981,,,,,,,,,123.5,111.9,110.4,99.1,89.7,,,,,,,,,,,,,,,,,,,,,,,
1982,,,,,,,,,142.5,121.5,117.3,98.7,84.2,,,,,,,,,,,,,,,,Unweighted,,35.0,35.0,38.0,39.0,41.0,27.0
1982,,,,,,,,,142.5,121.5,117.3,98.7,84.2,,,,,,,,,,,,,,,,Unweighted,Male,38.0,36.0,40.0,40.0,42.0,33.0
1982,,,,,,,,,142.5,121.5,117.3,98.7,84.2,,,,,,,,,,,,,,,,Unweighted,Female,33.0,35.0,37.0,38.0,40.0,23.0
1983,,,,,,,,,152.0,127.1,119.6,100.3,83.9,,,,,,,,,,,,,,,,,,,,,,,
1984,,,,,,,,,168.6,133.4,126.4,103.4,81.8,,,,,,,,,,,,,,,,Unweighted,,34.0,35.0,38.0,37.0,39.0,26.0
1984,,,,,,,,,168.6,133.4,126.4,103.4,81.8,,,,,,,,,,,,,,,,Unweighted,Male,36.0,35.0,40.0,39.0,39.0,30.0
1984,,,,,,,,,168.6,133.4,126.4,103.4,81.8,,,,,,,,,,,,,,,,Unweighted,Female,32.0,34.0,36.0,36.0,39.0,23.0
1985,,,,,,,,,183.5,141.5,129.7,107.5,82.9,7006.0,214449.0,3.3,,,,,,,,,,,,,,,,,,,,
1986,,,,,,,,,201.6,146.3,137.8,111.6,81.0,7485.0,237015.0,3.2,,,,,,,,,,,,,Unweighted,,33.0,35.0,36.0,36.0,35.0,25.0
1986,,,,,,,,,201.6,146.3,137.8,111.6,81.0,7485.0,237015.0,3.2,,,,,,,,,,,,,Unweighted,Male,35.0,36.0,37.0,37.0,35.0,29.0
1986,,,,,,,,,201.6,146.3,137.8,111.6,81.0,7485.0,237015.0,3.2,,,,,,,,,,,,,Unweighted,Female,31.0,35.0,35.0,34.0,35.0,22.0
1987,,,,,,,,,208.0,152.4,136.5,112.8,82.6,7665.0,260425.0,2.9,,,,,,,,,,,,,,,,,,,,
1988,,,,,,,,,214.9,159.9,134.4,118.8,88.4,7936.0,294521.0,2.7,,,,,,,,,,,,,Unweighted,,32.0,33.0,36.0,36.0,33.0,23.0
1988,,,,,,,,,214.9,159.9,134.4,118.8,88.4,7936.0,294521.0,2.7,,,,,,,,,,,,,Unweighted,Male,33.0,33.0,37.0,37.0,32.0,26.0
1988,,,,,,,,,214.9,159.9,134.4,118.8,88.4,7936.0,294521.0,2.7,,,,,,,,,,,,,Unweighted,Female,30.0,33.0,35.0,35.0,34.0,21.0
1989,,,,,,,,,221.1,172.3,128.3,124.8,97.2,8170.0,322967.0,2.5,,,,,,,,,,,,,,,,,,,,
1990,,,,,,,,,236.1,188.6,125.1,129.5,103.5,8649.0,349982.0,2.5,,,,,,,,,,,,,Unweighted,,30.0,35.0,35.0,33.0,29.0,21.0
1990,,,,,,,,,236.1,188.6,125.1,129.5,103.5,8649.0,349982.0,2.5,,,,,,,,,,,,,Unweighted,Male,31.0,33.0,36.0,34.0,28.0,24.0
